,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
94,HAPPY HAPPY,2019-06-12,1,HAPPY HAPPY,0.17300000000000001,0.609,0.932,0.0009460000000000001,0.396,-1.5619999999999998,0.145,179.995,0.755,56,twice
95,FANCY YOU,2019-04-22,1,FANCY,0.0122,0.6970000000000001,0.8740000000000001,0.0,0.627,-2.15,0.045,132.02200000000002,0.775,76,twice
96,FANCY YOU,2019-04-22,2,STUCK IN MY HEAD,0.102,0.545,0.789,0.0,0.423,-3.4939999999999998,0.136,179.886,0.355,54,twice
97,FANCY YOU,2019-04-22,3,GIRLS LIKE US,0.0457,0.73,0.695,0.0,0.379,-4.367,0.0695,97.995,0.698,53,twice
98,FANCY YOU,2019-04-22,4,HOT,0.007359999999999999,0.757,0.5710000000000001,0.0,0.0175,-6.79,0.0714,119.954,0.765,55,twice
99,FANCY YOU,2019-04-22,5,TURN IT UP,0.0628,0.828,0.812,0.0,0.14,-3.572,0.0521,119.991,0.961,53,twice
100,FANCY YOU,2019-04-22,6,STRAWBERRY,0.109,0.825,0.665,0.0,0.0672,-6.131,0.0417,118.04299999999999,0.7859999999999999,53,twice
101,#TWICE2,2019-03-06,1,LIKEY - Japanese ver.,0.379,0.7170000000000001,0.893,0.00011200000000000001,0.12,-1.391,0.0382,131.947,0.426,52,twice
102,#TWICE2,2019-03-06,2,Heart Shaker - Japanese ver.,0.00936,0.5379999999999999,0.935,0.0,0.0701,-1.075,0.061,163.908,0.826,55,twice
103,#TWICE2,2019-03-06,3,What is Love? - Japanese ver.,0.0501,0.564,0.892,0.0,0.23399999999999999,-1.84,0.0639,169.93900000000002,0.637,53,twice
104,#TWICE2,2019-03-06,4,Dance The Night Away - Japanese ver.,0.109,0.6809999999999999,0.847,4.02e-05,0.0828,-3.855,0.107,117.947,0.743,55,twice
105,#TWICE2,2019-03-06,5,YES or YES - Japanese ver.,0.0655,0.7070000000000001,0.915,0.0,0.183,-2.991,0.0419,137.972,0.769,54,twice
106,Wake Me Up,2018-05-16,2,Pink Lemonade,0.0816,0.706,0.9690000000000001,0.0,0.0564,-2.952,0.0781,128.004,0.7340000000000001,44,twice
107,Wake Me Up,2018-05-16,3,Wake Me Up - Instrumental,9.719999999999999e-05,0.622,0.995,0.852,0.32299999999999995,-2.59,0.0667,125.991,0.6459999999999999,25,twice
108,Wake Me Up,2018-05-16,4,Pink Lemonade - Instrumental,5.739999999999999e-05,0.586,0.867,0.684,0.0578,-6.372000000000001,0.0357,128.031,0.812,25,twice
109,Candy Pop,2018-02-07,3,Candy Pop - Instrumental,0.000687,0.56,0.9640000000000001,0.8640000000000001,0.147,-2.66,0.0523,174.032,0.45899999999999996,27,twice
110,Candy Pop,2018-02-07,4,BRAND NEW GIRL - Instrumental,2.9199999999999998e-05,0.5920000000000001,0.9540000000000001,0.847,0.33899999999999997,-8.014,0.0714,157.013,0.863,25,twice
111,Candy Pop,2018-01-12,1,Candy Pop,0.177,0.599,0.943,2.6000000000000002e-05,0.141,-1.4569999999999999,0.0894,174.05900000000003,0.84,57,twice
112,One More Time,2017-10-18,2,LUV ME,0.0524,0.73,0.917,0.0,0.35,-3.715,0.0426,141.957,0.6679999999999999,47,twice
113,One More Time,2017-10-18,3,One More Time - Instrumental,2.09e-05,0.613,0.902,0.825,0.315,-6.2170000000000005,0.0439,129.996,0.527,27,twice
114,One More Time,2017-10-18,4,LUV ME - Instrumental,7.950000000000001e-05,0.746,0.794,0.754,0.34299999999999997,-5.962000000000001,0.0339,142.006,0.57,26,twice
115,#TWICE,2017-06-28,1,Like OOH-AHH - Japanese ver.,0.341,0.687,0.8370000000000001,0.0,0.226,-2.153,0.0566,142.029,0.762,45,twice
116,#TWICE,2017-06-28,2,CHEER UP - Japanese ver.,0.175,0.5379999999999999,0.878,0.0,0.067,-1.291,0.083,172.888,0.467,48,twice
117,#TWICE,2017-06-28,3,TT - Japanese ver.,0.0807,0.6990000000000001,0.856,8.72e-06,0.44,-3.326,0.0608,129.96,0.331,57,twice
118,#TWICE,2017-06-28,4,KNOCK KNOCK - Japanese ver.,0.0984,0.6970000000000001,0.9570000000000001,2.92e-06,0.0524,-2.603,0.204,130.03,0.396,43,twice
119,SIGNAL (Japanese ver.),2017-06-14,1,SIGNAL - Japanese ver.,0.271,0.611,0.7240000000000001,0.0,0.107,-3.303,0.39,207.581,0.6559999999999999,40,twice
