,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
75,KILL THIS LOVE,2019-04-05,2,0zYqFyhiTj419q56lNsjk0,Don't Know What To Do,spotify:track:0zYqFyhiTj419q56lNsjk0,0.0992,0.628,0.64,0.0,0.138,-4.164,0.049,129.815,0.409,70,blackpink
78,KILL THIS LOVE,2019-04-05,5,4HGLNErVXyaDEjHvk3cL5B,DDU-DU DDU-DU - Remix,spotify:track:4HGLNErVXyaDEjHvk3cL5B,0.0336,0.68,0.906,7.75e-05,0.077,-6.195,0.0734,145.041,0.68,61,blackpink
86,Kill This Love,2019-04-05,3,6MN6oiT2d7qxYEOwXwgV34,Kick It,spotify:track:6MN6oiT2d7qxYEOwXwgV34,0.0156,0.765,0.787,0.0,0.0736,-3.647,0.0445,124.949,0.381,65,blackpink
87,Kill This Love,2019-04-05,4,6euC2yxyQA6uztolUYnhiW,Hope Not,spotify:track:6euC2yxyQA6uztolUYnhiW,0.441,0.556,0.423,0.0,0.0867,-4.998,0.0274,110.086,0.179,62,blackpink
88,Kill This Love,2019-04-05,5,0NdEvupVBxG5zyVLGtpJpg,DDU-DU DDU-DU (Remix),spotify:track:0NdEvupVBxG5zyVLGtpJpg,0.0341,0.68,0.906,7.83e-05,0.077,-6.195,0.0734,145.05,0.68,59,blackpink
94,Kiss And Make Up,2018-10-24,1,7v57jXggtZOJEjEcgfhxte,Kiss And Make Up,spotify:track:7v57jXggtZOJEjEcgfhxte,0.0658,0.678,0.729,0.0,0.303,-4.188,0.137,99.895,0.643,30,blackpink
100,SQUARE UP,2018-06-15,1,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.0323,0.671,0.859,0.0,0.267,-3.922,0.0833,139.931,0.389,76,blackpink
101,SQUARE UP,2018-06-15,2,56bHclo7YNvpujMveLElQn,Forever Young,spotify:track:56bHclo7YNvpujMveLElQn,0.0426,0.6,0.96,0.0,0.0882,-1.807,0.095,109.863,0.503,69,blackpink
102,SQUARE UP,2018-06-15,3,5qA5DAR5xTjQUGrl0eBbmR,Really,spotify:track:5qA5DAR5xTjQUGrl0eBbmR,0.0234,0.695,0.881,0.0,0.277,-2.082,0.104,142.018,0.947,65,blackpink
103,SQUARE UP,2018-06-15,4,1ZPMLCzCwIvLbMFWvYiw4H,See U Later,spotify:track:1ZPMLCzCwIvLbMFWvYiw4H,0.0376,0.741,0.926,0.0,0.582,-3.968,0.112,106.99,0.571,64,blackpink
104,SQUARE UP,2018-06-15,1,2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,0.0322,0.665,0.86,0.0,0.281,-3.921,0.0761,139.973,0.372,56,blackpink
105,SQUARE UP,2018-06-15,2,57Enap29zKl7NGRdDJjkjA,FOREVER YOUNG - KR Ver.,spotify:track:57Enap29zKl7NGRdDJjkjA,0.0419,0.615,0.96,0.0,0.0925,-1.807,0.09,110.058,0.504,52,blackpink
106,SQUARE UP,2018-06-15,3,7AWtaOSb7cgi16wJr3mkuf,REALLY - KR Ver.,spotify:track:7AWtaOSb7cgi16wJr3mkuf,0.0234,0.695,0.882,0.0,0.315,-2.08,0.104,142.025,0.947,48,blackpink
107,SQUARE UP,2018-06-15,4,514mQDPkXmPzsYwGNmkBJZ,SEE U LATER - KR Ver.,spotify:track:514mQDPkXmPzsYwGNmkBJZ,0.0399,0.744,0.927,0.0,0.579,-3.973,0.107,106.981,0.559,47,blackpink
108,Re: BLACKPINK,2018-03-28,1,7fnzywGBFweUlh4aeydMyE,BOOMBAYAH - Japanese Version,spotify:track:7fnzywGBFweUlh4aeydMyE,0.0265,0.75,0.868,2.58e-06,0.226,-2.236,0.0541,124.96,0.492,38,blackpink
109,Re: BLACKPINK,2018-03-28,2,2O4vh2CJ5yMWy9qCko3I8u,WHITSLE - Japanese Version,spotify:track:2O4vh2CJ5yMWy9qCko3I8u,0.00273,0.821,0.714,0.0,0.0846,-5.452,0.0492,103.048,0.567,20,blackpink
115,BLACKPINK,2017-08-29,2,6kZE8ZhOUM2rGmeG9qk7Y9,WHISTLE - Japanese Version,spotify:track:6kZE8ZhOUM2rGmeG9qk7Y9,0.00277,0.821,0.716,0.0,0.0845,-5.451,0.0494,102.998,0.572,59,blackpink
116,BLACKPINK,2017-08-29,3,2IbQ5hQVrzg4e6bNruEqOs,PLAYING WITH FIRE - Japanese Version,spotify:track:2IbQ5hQVrzg4e6bNruEqOs,0.0209,0.674,0.783,0.0,0.21,-3.878,0.0662,97.062,0.646,59,blackpink
117,BLACKPINK,2017-08-29,4,6Fcoih4yHMyXLzDcTeVUgn,STAY - Japanese Version,spotify:track:6Fcoih4yHMyXLzDcTeVUgn,0.592,0.591,0.402,0.0,0.159,-7.367,0.0303,88.095,0.407,58,blackpink
118,BLACKPINK,2017-08-29,5,5m8wiO2ySMpCtYSwHatWQr,AS IF IT'S YOUR LAST - Japanese Version,spotify:track:5m8wiO2ySMpCtYSwHatWQr,0.131,0.769,0.861,0.0,0.0616,-2.23,0.0746,125.04,0.493,60,blackpink
121,SQUARE ONE,2017-07-20,1,67BbMuItfrHmaNqDxBPF7c,WHISTLE - KR Ver.,spotify:track:67BbMuItfrHmaNqDxBPF7c,0.00579,0.827,0.722,0.0,0.0935,-4.804,0.0945,102.972,0.589,52,blackpink
123,SQUARE TWO,2017-07-20,1,5OepnJhqZoyJN8qWo2LZzy,PLAYING WITH FIRE - KR Ver.,spotify:track:5OepnJhqZoyJN8qWo2LZzy,0.044,0.704,0.758,0.0,0.186,-4.393,0.108,97.052,0.663,53,blackpink
124,SQUARE TWO,2017-07-20,2,2tnBkiyJWLnQGsjyz4BuJJ,STAY - KR Ver.,spotify:track:2tnBkiyJWLnQGsjyz4BuJJ,0.542,0.629,0.421,3.56e-06,0.117,-6.746,0.0364,87.939,0.353,48,blackpink
125,SQUARE TWO,2017-07-20,3,0RzVkLtXOwfETIi4Z3ik1K,WHISTLE - (Acoustic Ver.) KR Ver.,spotify:track:0RzVkLtXOwfETIi4Z3ik1K,0.81,0.837,0.462,0.0,0.0927,-5.952,0.0398,103.035,0.665,44,blackpink
